epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1433.03,1.5458,1.51489,1.51992,0.42083,0.3663,0.34821,0.17092,1.88068,2.13669,1.80662,0.005743,0.005743,0.005743
45,1465.26,1.53718,1.49744,1.51165,0.58561,0.38939,0.41114,0.20097,1.85874,1.89262,1.7862,0.005644,0.005644,0.005644
46,1497.82,1.53269,1.49332,1.51215,0.55616,0.38243,0.39972,0.19359,1.87051,1.95657,1.82142,0.005545,0.005545,0.005545
47,1530.03,1.54523,1.49742,1.51936,0.48524,0.37927,0.35622,0.16199,1.90556,2.03331,1.85234,0.005446,0.005446,0.005446
48,1562.32,1.53327,1.46944,1.50307,0.53417,0.38198,0.39016,0.18337,1.89441,1.9477,1.8027,0.005347,0.005347,0.005347
49,1594.51,1.51238,1.47506,1.50493,0.50648,0.38786,0.38814,0.18789,1.87436,1.94498,1.80646,0.005248,0.005248,0.005248
50,1626.74,1.54223,1.45889,1.5093,0.56621,0.37897,0.39901,0.19094,1.84367,1.94493,1.80039,0.005149,0.005149,0.005149
51,1658.93,1.50884,1.45684,1.50638,0.58151,0.38822,0.41893,0.20421,1.86979,1.92115,1.80933,0.00505,0.00505,0.00505
52,1691.34,1.49302,1.43285,1.4826,0.5323,0.38778,0.40106,0.19786,1.85073,1.93239,1.78706,0.004951,0.004951,0.004951
53,1724.06,1.50391,1.43106,1.48579,0.55967,0.40633,0.42182,0.20901,1.83756,1.87079,1.77696,0.004852,0.004852,0.004852
54,1756.47,1.49708,1.43345,1.48526,0.3684,0.33265,0.297,0.14616,1.95512,2.35938,1.93614,0.004753,0.004753,0.004753
55,1788.7,1.52501,1.45903,1.51452,0.42414,0.36152,0.32372,0.15672,1.86894,2.13859,1.83343,0.004654,0.004654,0.004654
56,1821.2,1.48591,1.40082,1.47368,0.51139,0.40718,0.41041,0.19902,1.84233,1.92899,1.78395,0.004555,0.004555,0.004555
57,1853.65,1.494,1.40935,1.48467,0.53168,0.39418,0.40288,0.19648,1.88367,1.94388,1.81696,0.004456,0.004456,0.004456
58,1886.56,1.47929,1.40829,1.47511,0.58816,0.36363,0.39673,0.19574,1.82592,1.93502,1.76684,0.004357,0.004357,0.004357
59,1919.52,1.46929,1.38148,1.462,0.47521,0.37789,0.37722,0.17551,1.90263,2.0177,1.83821,0.004258,0.004258,0.004258
60,1952.32,1.466,1.37828,1.44907,0.56225,0.38254,0.40416,0.19647,1.84736,1.89345,1.78213,0.004159,0.004159,0.004159
61,1985.05,1.45474,1.36892,1.45317,0.52763,0.40367,0.40697,0.20362,1.82277,1.87511,1.77437,0.00406,0.00406,0.00406
62,2017.25,1.46716,1.37305,1.44903,0.52074,0.41048,0.39832,0.19885,1.85752,1.92591,1.79453,0.003961,0.003961,0.003961
63,2049.89,1.44598,1.36994,1.44367,0.57495,0.40015,0.42335,0.21105,1.81718,1.82801,1.76238,0.003862,0.003862,0.003862
64,2083.02,1.46941,1.33817,1.45662,0.58531,0.38917,0.42139,0.2101,1.83743,1.87832,1.76022,0.003763,0.003763,0.003763
65,2116.16,1.45146,1.34004,1.44183,0.5352,0.40464,0.41176,0.2058,1.80799,1.87786,1.76023,0.003664,0.003664,0.003664
66,2149.47,1.45461,1.33246,1.44976,0.5604,0.37387,0.40239,0.197,1.87065,1.94117,1.80288,0.003565,0.003565,0.003565
67,2181.86,1.43665,1.32833,1.43989,0.56055,0.38197,0.42171,0.20969,1.82492,1.8965,1.7856,0.003466,0.003466,0.003466
68,2214.79,1.4349,1.31353,1.43362,0.56546,0.39771,0.41697,0.20226,1.84898,1.91378,1.78705,0.003367,0.003367,0.003367
69,2247.95,1.4155,1.32007,1.42076,0.54189,0.4116,0.43185,0.22082,1.79484,1.82964,1.73504,0.003268,0.003268,0.003268
70,2281.04,1.37638,1.31792,1.40983,0.55376,0.40272,0.41756,0.20822,1.81745,1.87855,1.76487,0.003169,0.003169,0.003169
71,2314.11,1.40609,1.27518,1.41141,0.56142,0.41423,0.42189,0.2009,1.84371,1.90498,1.79015,0.00307,0.00307,0.00307
72,2346.83,1.4089,1.26524,1.40988,0.53599,0.41519,0.42544,0.21331,1.82265,1.85487,1.78311,0.002971,0.002971,0.002971
73,2379.6,1.38484,1.29571,1.41017,0.60547,0.40111,0.44027,0.22264,1.79935,1.82563,1.73826,0.002872,0.002872,0.002872
74,2412.24,1.39922,1.27441,1.41105,0.59703,0.39811,0.43396,0.22079,1.7937,1.83538,1.73451,0.002773,0.002773,0.002773
75,2445.14,1.37411,1.24994,1.39961,0.58027,0.41622,0.44086,0.2238,1.79215,1.81794,1.73822,0.002674,0.002674,0.002674
76,2478.29,1.37716,1.26332,1.39158,0.59895,0.41345,0.43315,0.21589,1.81916,1.86307,1.78321,0.002575,0.002575,0.002575
77,2511.1,1.34675,1.21824,1.38246,0.55527,0.37247,0.39006,0.20063,1.83463,1.97862,1.79515,0.002476,0.002476,0.002476
78,2544.08,1.3476,1.23232,1.38634,0.60527,0.40588,0.43725,0.221,1.79473,1.83486,1.75583,0.002377,0.002377,0.002377
79,2576.62,1.35939,1.21668,1.39113,0.57814,0.43233,0.45632,0.22929,1.81309,1.77329,1.77018,0.002278,0.002278,0.002278
80,2609.97,1.35189,1.2121,1.39741,0.54157,0.40193,0.42973,0.21375,1.83282,1.806,1.76959,0.002179,0.002179,0.002179
81,2642.71,1.34617,1.23982,1.39627,0.56348,0.42628,0.44091,0.21973,1.82182,1.81225,1.76535,0.00208,0.00208,0.00208
82,2675.2,1.35636,1.22907,1.38819,0.56849,0.42697,0.43684,0.21748,1.80798,1.83564,1.77665,0.001981,0.001981,0.001981
83,2707.61,1.34829,1.22061,1.37427,0.60209,0.4069,0.44682,0.22652,1.78121,1.83045,1.74462,0.001882,0.001882,0.001882
84,2740.17,1.32326,1.19065,1.357,0.54319,0.39865,0.41312,0.21121,1.83154,1.88895,1.79877,0.001783,0.001783,0.001783
85,2772.45,1.29838,1.18106,1.35251,0.5586,0.42537,0.44641,0.22438,1.81687,1.78677,1.76643,0.001684,0.001684,0.001684
86,2804.69,1.29897,1.16655,1.35698,0.59873,0.40999,0.45482,0.23187,1.79537,1.74868,1.7566,0.001585,0.001585,0.001585
87,2837.46,1.29745,1.16274,1.34767,0.58797,0.41059,0.43391,0.21751,1.80938,1.82451,1.75492,0.001486,0.001486,0.001486
88,2870.76,1.30558,1.16787,1.35795,0.59721,0.41803,0.44854,0.22753,1.79496,1.77691,1.74779,0.001387,0.001387,0.001387
89,2903.17,1.27873,1.12285,1.34434,0.61488,0.40242,0.44574,0.22652,1.80714,1.81293,1.75002,0.001288,0.001288,0.001288
90,2935.35,1.31789,1.15396,1.35935,0.53301,0.41826,0.42849,0.21375,1.83199,1.84491,1.79135,0.001189,0.001189,0.001189
91,2989.54,1.34757,1.18642,1.38256,0.59849,0.41073,0.44038,0.22512,1.8162,1.79679,1.77283,0.00109,0.00109,0.00109
92,3022.19,1.32135,1.14488,1.37756,0.5406,0.43822,0.44876,0.23156,1.7853,1.75461,1.7369,0.000991,0.000991,0.000991
93,3054.91,1.29597,1.09487,1.34799,0.6027,0.39204,0.43794,0.22736,1.80241,1.7978,1.75176,0.000892,0.000892,0.000892
94,3086.88,1.28578,1.08342,1.34196,0.56007,0.42892,0.44651,0.23153,1.79375,1.7813,1.74413,0.000793,0.000793,0.000793
95,3118.87,1.27758,1.05776,1.33625,0.59798,0.41542,0.44993,0.22927,1.81441,1.80283,1.77405,0.000694,0.000694,0.000694
96,3150.98,1.26553,1.0585,1.33414,0.591,0.4147,0.45448,0.23271,1.80086,1.76641,1.76005,0.000595,0.000595,0.000595
97,3183.27,1.261,1.04288,1.32938,0.56661,0.43058,0.4467,0.23167,1.79652,1.78057,1.76357,0.000496,0.000496,0.000496
98,3215.56,1.2447,1.04154,1.31788,0.63036,0.4122,0.45667,0.22981,1.8174,1.77588,1.78017,0.000397,0.000397,0.000397
99,3247.69,1.24724,1.0346,1.3233,0.60762,0.41489,0.45108,0.23111,1.79676,1.76063,1.76658,0.000298,0.000298,0.000298
100,3279.78,1.23711,1.02611,1.31185,0.61434,0.41394,0.45387,0.2314,1.80198,1.76273,1.76997,0.000199,0.000199,0.000199
